Countries,Referred,Accepted,Rejected,Abandoned,Withdrawn & Other,Total,Pending (as of 2013/12/31),Referred_Sheet2,Accepted_Sheet2,Rejected_Sheet2,Abandoned_Sheet2,Withdrawn & Other_Sheet2,Total_Sheet2,Pending (as of 2014/12/31),Referred_Sheet3,Accepted_Sheet3,Rejected_Sheet3,Abandoned_Sheet3,Withdrawn & Other_Sheet3,Total_Sheet3,Pending (as of 2015/12/31),Referred_Sheet4,Accepted_Sheet4,Rejected_Sheet4,Abandoned_Sheet4,Withdrawn & Other_Sheet4,Total_Sheet4,...8,Referred_Sheet5,Accepted_Sheet5,Rejected_Sheet5,Abandoned_Sheet5,Withdrawn & Other_Sheet5,Total_Sheet5,...8_Sheet5,Referred_Sheet6,Accepted_Sheet6,Rejected_Sheet6,Abandoned_Sheet6,Withdrawn & Other_Sheet6,Total_Sheet6,...8_Sheet6,Referred_Sheet7,Accepted_Sheet7,Rejected_Sheet7,Abandoned_Sheet7,Withdrawn & Other_Sheet7,Total_Sheet7,Pending (as of 2019/12/31)​,Referred_Sheet8,Accepted_Sheet8,Rejected_Sheet8,Abandoned_Sheet8,Withdrawn & Other_Sheet8,Total_Sheet8,Pending (as of 2020/12​/31​)​,Referred_Sheet9,Accepted_Sheet9,Rejected_Sheet9,Abandoned_Sheet9,Withdrawn & Other_Sheet9,Total_Sheet9,Pending (as of 2021/12​/31​)​,Referred_Sheet10,Accepted_Sheet10,Rejected_Sheet10,Abandoned_Sheet10,Withdrawn & Other_Sheet10,Total_Sheet10,Pending (as of 2022/12​/31​)​,Referred_Sheet11,Accepted_Sheet11,Rejected_Sheet11,Abandoned_Sheet11,Withdrawn and Other,Total_Sheet11,Pending (as of 2023/12​/31​)​
Barbados,--,--,--,--,--,--,--,24,--,--,--,--,21,10,35,--,--,--,--,25,20,32,26,--,--,--,34,--,63,26,--,--,--,35,46,63,30,--,--,--,35,74,103,39,--,--,--,60,117,54,--,--,--,--,28,143,53,79,--,--,--,97,99,156,73,--,--,--,105,151,212,105,--,--,--,135,228
Belgium,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,--,--,--,--,--,27
Belize,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Benin,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,--,20,--,--,--,--,--,--,24,--,--,--,--,--,24,39,--,--,--,--,--,48,28,--,--,--,--,--,64,​21,--,--,--,--,--,82,25,--,--,--,--,25,82,26,28,--,--,--,44,63,98,20,--,--,--,35,126
Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Botswana,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Brazil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40,--,--,--,--,--,29,28,--,--,--,--,--,38,148,--,24,--,--,39,146,80,--,36,--,--,66,160,222,29,42,--,--,86,295,78,--,47,--,--,70,303,93,48,72,--,--,147,251,224,66,62,--,--,155,317,299,50,74,--,--,138,484
Bulgaria,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59,--,--,--,--,--,61,85,25,--,--,--,45,101,--,​29,--,--,--,32,87,--,53,--,--,--,69,29,--,--,--,20,--,37,--,30,--,--,--,--,--,33
Burkina Faso,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,--,--,--,--,--,--,35,--,--,--,--,35,--,41,--,--,--,--,--,35,74,--,--,--,--,--,101,88,--,-,--,--,23,164,32,--,--,--,--,--,176,25,44,--,--,--,75,126,49,52,21,--,--,82,91,357,26,--,--,--,47,401
Burundi,167,100,--,--,--,138,49,101,51,46,--,--,99,51,260,116,--,--,--,156,155,657,378,--,--,--,403,409,933,718,26,--,--,750,571,757,382,--,--,--,406,911,770,872,--,-,--,903,767,145,551,--,--,--,563,340,100,195,--,--,21,229,208,248,115,20,--,--,147,302,975,251,--,--,--,263,1014
Cambodia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,--,--,--,--,--,28,--,-,--,--,--,--,26,--,--,--,--,--,--,26​,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cameroon,130,37,--,--,--,65,64,185,125,56,--,--,184,65,224,146,--,--,--,198,90,199,115,53,--,--,172,116,244,82,46,--,--,130,229,396,100,47,--,--,154,470,480,143,52,--,--,213,736,150,138,35,--,--,180,699,184,348,57,--,--,457,424,307,217,49,--,--,313,409,1560,234,31,--,--,277,1682
Chad,23,--,--,--,--,--,--,78,39,--,--,--,55,40,88,57,26,--,--,85,43,158,75,28,--,--,109,92,312,103,45,--,--,154,250,251,68,25,--,--,100,403,255,96,--,--,--,118,537,45,110,33,--,--,149,435,58,215,21,--,--,240,259,194,165,28,--,--,199,248,1080,131,--,--,--,157,1171
Chile,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,--,--,--,--,--,21,49,--,31,--,--,35,34,67,--,--,--,--,26,75,91,--,40,--,--,59,108,136,20,39,--,--,65,179,110,--,​20,--,--,​33,256,172,39,34,--,--,86,343,490,87,121,--,--,221,606,769,128,116,--,--,278,1098
China,897,233,190,--,--,469,432,1317,556,487,--,--,1084,663,1722,702,589,28,27,1346,1038,1323,351,613,41,30,1035,1323,1179,553,564,27,31,1175,1324,1942,563,507,53,40,1163,2105,2010,547,534,61,40,1182,2941,528,584,279,22,39,924,2540,875,1177,488,77,51,1793,1633,942,1042,343,37,52,1474,1100,1527,948,127,--,--,1139,1486
Colombia,597,149,137,--,--,303,303,584,333,224,--,--,576,308,711,296,252,--,--,582,430,820,352,185,--,--,553,694,1321,509,181,--,--,731,1287,2582,458,267,45,44,814,3056,3197,949,410,42,123,1524,4711,1025,814,347,--,--,1214,4518,1620,1942,406,--,--,2476,3665,4997,2092,571,33,184,2880,5770,8001,3001,485,80,150,3716,10049
Costa Rica,--,--,--,--,--,--,--,--,--,--,--,--,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,27,-,--,--,--,--,38,--,--,--,--,--,--,38,21,--,--,--,--,--,43,--,--,--,--,--,31,24,61,--,--,--,--,--,67
Croatia,148,--,81,--,--,106,53,80,--,83,--,--,97,34,28,--,--,--,--,26,35,--,--,--,--,--,--,38,24,--,--,--,--,--,45,--,--,--,--,--,32,27,--,--,--,--,--,--,39,--,--,--,--,--,--,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cuba,180,68,24,--,--,105,73,156,92,46,--,--,156,73,96,79,33,--,--,126,43,68,28,--,--,--,55,54,87,32,31,--,--,68,72,92,--,--,--,--,35,126,177,22,--,--,--,41,260,88,​21,--,--,--,​30,318,85,89,--,--,--,117,286,358,152,46,--,--,220,419,657,242,34,--,--,309,765
Czech Republic,28,--,--,--,--,--,27,116,--,32,--,--,56,84,118,34,--,--,--,74,128,134,38,21,--,--,84,177,186,37,--,--,45,100,262,90,75,--,--,47,153,197,71,67,--,--,47,130,137,--,--,--,--,27,51,90,--,22,--,--,--,42,62,61,20,--,--,--,37,91,98,38,--,--,29,83,108
Djibouti,61,20,--,--,--,26,41,107,86,23,--,--,109,39,69,--,--,--,--,53,55,210,--,--,--,--,112,153,591,215,93,--,--,314,429,127,271,43,--,--,324,232,73,146,--,--,--,187,113,--,--,--,--,--,31,100,--,65,--,--,--,77,32,39,23,--,--,--,25,45,119,21,--,--,--,23,141
Dominican Republic,29,--,--,--,--,--,--,25,--,--,--,--,23,--,--,--,--,--,--,20,--,44,--,--,--,--,31,22,59,22,--,--,--,37,44,88,--,--,--,--,--,124,87,--,--,--,--,37,173,36,--,--,--,--,27,182,80,36,29,--,--,76,186,89,66,46,--,--,127,147,204,63,--,--,--,85,264
Ecuador,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24,--,--,--,--,--,22,--,39,--,--,--,--,--,42,84,--,--,--,--,--,111,32,--,--,--,--,​23,120,60,29,30,--,--,64,115,93,54,36,--,--,92,116,276,30,24,--,--,62,330
Egypt,254,140,--,--,--,152,102,261,243,37,--,--,280,83,188,163,--,--,--,187,84,332,187,--,--,--,218,198,849,289,47,--,--,360,688,1197,429,44,--,--,501,1382,1031,1032,92,--,​--,1154,1252,171,513,88,--,--,627,794,218,522,113,--,--,651,363,356,318,24,--,--,349,370,475,326,22,--,--,357,487
El Salvador,112,--,29,--,--,51,64,159,82,46,--,--,133,90,194,109,44,--,--,163,121,244,143,--,--,--,205,160,701,166,79,--,--,257,605,504,275,106,--,--,407,699,397,258,157,--,--,431,666,103,121,​21,--,--,154,612,117,253,34,--,--,299,432,243,300,47,--,--,358,315,177,160,41,--,--,222,269
Equatorial Guinea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Eritrea,206,109,--,--,--,139,71,243,182,27,--,--,216,98,286,235,--,--,--,258,126,749,268,47,--,--,331,541,1150,803,43,--,--,868,825,660,624,54,--,--,706,766,348,524,70,--,--,629,473,85,193,​21,--,--,221,287,46,170,29,--,--,206,152,199,91,21,--,--,126,183,249,148,--,--,--,187,232
Ethiopia,127,49,--,--,--,69,59,165,76,--,--,--,131,93,315,154,73,--,--,231,176,385,222,80,--,--,307,252,632,257,86,--,--,352,531,750,290,98,--,--,415,862,604,308,134,--,--,456,1000,218,292,​118,--,--,420,795,308,655,56,--,--,723,380,613,455,--,--,--,484,501,1942,584,--,--,--,608,1827
Fiji,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37,--,--,--,--,--,35,21,--,-,--,--,--,51,--,--,--,--,--,28,33,--,--,--,--,--,--,27,21,--,--,--,--,--,36,44,--,--,--,--,22,57
Gabon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,--,26,--,--,--,--,--,30,--,--,--,--,--,--,38,--,--,--,--,--,--,48,--,--,--,--,--,--,37,--,--,--,--,--,26,27,30,--,--,--,--,--,42
Gambia,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,--,--,--,--,--,27,34,--,--,--,--,--,43,77,--,--,--,--,29,91,57,--,--,--,--,25,125,--,--,--,--,--,​24,115,--,30,20,--,--,54,78,59,21,27,--,--,53,81,236,40,--,--,--,52,264
Georgia,32,--,--,--,--,--,20,87,32,--,--,--,56,51,91,--,30,--,--,50,91,113,31,28,--,--,64,139,158,38,43,--,--,90,207,192,73,46,--,--,134,265,137,54,32,--,--,98,305,60,43,31,--,--,77,288,49,91,33,--,--,138,199,111,81,26,--,--,122,187,474,90,--,--,--,120,540
Germany,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,--,--,--,--,--,22,--,--,--,-,--,--,21,--,--,--,--,--,--,​--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24
Ghana,76,--,20,--,--,38,40,76,--,36,--,--,72,42,89,--,48,--,--,81,50,113,38,--,--,--,74,89,230,33,58,--,--,100,217,159,42,81,--,--,135,241,189,38,75,--,--,119,308,99,--,​27,--,--,46,364,125,102,58,--,--,181,308,253,105,75,--,--,205,345,1441,126,64,--,--,216,1560
Greece,36,--,--,--,--,24,--,--,--,--,--,--,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Grenada,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Guatemala,74,--,--,--,--,35,38,52,20,32,--,--,54,36,46,--,--,--,--,37,44,51,--,28,--,--,47,48,209,--,33,--,--,57,199,129,63,36,--,--,129,201,167,61,25,--,--,112,255,49,38,--,--,--,51,249,131,78,31,--,--,136,244,197,99,49,--,--,161,280,212,94,59,--,--,176,315
Guinea,68,--,--,--,--,36,32,66,48,--,--,--,74,24,51,25,28,--,--,53,22,66,--,--,--,--,42,46,134,42,20,--,--,64,116,231,32,--,--,--,49,298,199,46,--,--,--,81,407,59,34,--,--,--,53,413,101,132,23,--,--,180,332,118,120,57,--,--,196,251,632,111,34,--,--,165,718
Guinea-Bissau,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
